gueltigAb  ,von        ,bis      ,entlohnung ,promille ,offset
2024-04-22 ,      0.01 ,40       ,       4.2 ,         ,   
2024-04-22 ,     40.01 ,70       ,       5.9 ,         ,   
2024-04-22 ,     70.01 ,110      ,       7.5 ,         ,   
2024-04-22 ,    110.01 ,180      ,       8.4 ,         ,   
2024-04-22 ,    180.01 ,360      ,       9.2 ,         ,   
2024-04-22 ,    360.01 ,730      ,      11.1 ,         ,   
2024-04-22 ,    730.01 ,1090     ,      14.8 ,         ,   
2024-04-22 ,   1090.01 ,1820     ,      16.1 ,         ,   
2024-04-22 ,   1820.01 ,3630     ,      17.9 ,         ,   
2024-04-22 ,   3630.01 ,5450     ,      21.5 ,         ,   
2024-04-22 ,   5450.01 ,7270     ,      26.6 ,         ,   
2024-04-22 ,   7270.01 ,10170    ,      35.1 ,         ,   
2024-04-22 ,  10170.01 ,11620    ,      39.3 ,         ,   
2024-04-22 ,  11620.01 ,13070    ,      43.5 ,         ,   
2024-04-22 ,  13070.01 ,14520    ,      47.7 ,         ,   
2024-04-22 ,  14520.01 ,15970    ,      51.9 ,         ,   
2024-04-22 ,  15970.01 ,17420    ,      56.1 ,         ,   
2024-04-22 ,  17420.01 ,18870    ,      60.3 ,         ,   
2024-04-22 ,  18870.01 ,20320    ,      64.5 ,         ,   
2024-04-22 ,  20320.01 ,21770    ,      68.7 ,         ,   
2024-04-22 ,  21770.01 ,23220    ,      72.9 ,         ,   
2024-04-22 ,  23220.01 ,24670    ,      77.1 ,         ,   
2024-04-22 ,  24670.01 ,26120    ,      81.3 ,         ,   
2024-04-22 ,  26120.01 ,27570    ,      85.5 ,         ,   
2024-04-22 ,  27570.01 ,29020    ,      89.7 ,         ,   
2024-04-22 ,  29020.01 ,30470    ,      93.9 ,         ,   
2024-04-22 ,  30470.01 ,31920    ,      98.1 ,         ,   
2024-04-22 ,  31920.01 ,33370    ,     102.3 ,         ,   
2024-04-22 ,  33370.01 ,34820    ,     106.5 ,         ,   
2024-04-22 ,  34820.01 ,36340    ,     110.7 ,         ,   
2024-04-22 ,  36340.01 ,363360   ,       0   ,    0.1  ,107.066
2024-04-22 , 363360.01 ,3067360  ,       0   ,    0.05 ,125.232
2024-04-22 ,3738360.01 ,Infinity ,     312.2 ,         ,